title_uuid,title_uid,title_node_id,title_format_paper,title_format_size,title_pub_freq,title_date,title_genre_1,title_genre_2,title_title_j,title_role_editor,title_imprint,title_pub_add,title_pub_city,title_pub_stat,title_pub_nat,title_collected,title_published,title_content_url
22,blc,contexts3,book-paper,"und, (05.x08)",monthly,1895,sup,fan,"Black Cat, The",Herman D. Umbstaetter,"Shortstory Publishing Co., The",144 High St.,Boston,MA,US,1,316,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
23,blm,pulpmags,pulp-paper,"std, (07.x10)",monthly,1920,det,cri,"Black Mask, The",F. M. Osborne; Joseph T. Shaw,Pro-Distributors Publishing Co.,25 W. 45th St.,New York,NY,US,6,340,http://www.pulpmags.org/content/view/issues/black-mask.html
24,blu,pulpmags,pulp-paper,"std, (07.x10)",monthly,1907,ant,adv,"Blue Book Magazine, The",Donald Kennicott; Ray Long,Story-Press Corp.,29 E. Madison St.,Chicago,IL,US,10,613,http://www.pulpmags.org/content/view/issues/blue-book-magazine.html
25,bre,pulpmags,pulp-paper,"std, (07.x10)",monthly,1915,rom,sex,Breezy Stories,Cashel St. John Pomeroy,C.H. Young Pub. Co.,112-14 E. 19th St.,New York,NY,US,1,360,http://www.pulpmags.org/content/view/issues/breezy-stories.html
26,buf,contexts1,news-print,"qrt, (8.5x11)",weekly,1901,wes,boy,"Buffalo Bill Stories, The",Frank Blackwell,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,1,947,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
27,cav,pulpmags,pulp-paper,"std, (07.x10)",weekly,1908,ant,adv,"Cavalier, The",Robert H. Davis,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,1,163,http://www.pulpmags.org/content/view/issues/cavalier.html
28,col,contexts3,slick-paper,"ovr, (11.x15)",weekly,1821,gen,ant,Collier's Weekly,Norman Hapgood,P.F. Collier & Son,416 W. 13th St.,New York,NY,US,1,999,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
29,ddl,contexts1,news-print,"qrt, (8.5x11)",weekly,1899,wes,boy,Deadwood Dick Library,(House Name),Arthur Westbrook Co.,No. 98 William St.,New York,NY,US,1,64,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
30,dfw,pulpmags,pulp-paper,"std, (07.x10)",weekly,1928,det,cri,Detective Fiction Weekly,Howard V. Bloomfield,Red Star News Co. (Frank A. Munsey),280 Broadway Ave.,New York,NY,US,4,929,http://www.pulpmags.org/content/view/issues/detective-fiction-weekly.html
32,dim,pulpmags,pulp-paper,"std, (07.x10)",monthly,1932,mys,cri,Dime Mystery Magazine,Rogers Terrill,"Popular Publications, Inc.",205 E. 42nd St.,New York,NY,US,4,159,http://www.pulpmags.org/content/view/issues/dime-mystery-magazine.html
31,dsm,pulpmags,pulp-paper,"std, (07.x10)",weekly,1915,det,mys,Detective Story Magazine,Frank E. Blackwell,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,5,1057,http://www.pulpmags.org/content/view/issues/detective-story-magazine.html
33,dyn,pulpmags,pulp-paper,"std, (07.x10)",monthly,1939,sff,tec,Dynamic Science Stories,Robert O. Erisman,Western Fiction Publishing Co.,4600 Diversey Ave.,Chicago,IL,US,2,2,http://www.pulpmags.org/content/view/issues/dynamic-science-stories.html
34,eve,contexts3,pulp-paper,"std, (07.x10)",monthly,1899,gen,ant,Everybody's Magazine,John O'Hara Cosgrave,"Ridgway Company, The",Spring & Macdougal St.,New York,NY,US,1,355,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
35,exw,pulpmags,pulp-paper,"std, (07.x10)",bi-monthly,1940,wes,adv,Exciting Western,Leo Margulies,"Better Publications, Inc.",10 E. 40th St.,New York,NY,US,3,76,http://www.pulpmags.org/content/view/issues/exciting-western.html
36,ffm,pulpmags,pulp-paper,"std, (07.x10)",monthly,1939,sff,rep,Famous Fantastic Mysteries,Mary Gnaedinger,Frank A. Munsey Co.,280 Broadway Ave.,New York,NY,US,5,81,http://www.pulpmags.org/content/view/issues/famous-fantastic-mysteries.html
37,fig,pulpmags,pulp-paper,"std, (07.x10)",monthly,1928,spo,ant,Fight Stories,William H. Kofoed,"Fiction House, Inc.",271 Madison Ave.,New York,NY,US,3,106,http://www.pulpmags.org/content/view/issues/fight-stories.html
38,fly,pulpmags,pulp-paper,"ovr, (08.x11)",monthly,1928,avi,adv,Flying Stories,Walter E. Colby,"New Metropolitan Fiction, Inc. (Macfadden)",130 W. 42nd St.,New York,NY,US,1,20,http://www.pulpmags.org/content/view/issues/flying-stories.html
39,fol,contexts2,slick-insert,"und, (05.x08)",quarterly,1922,sex,rom,Follies,Joseph Burten,Burten Publications,185 Bleeker St.,New York,NY,US,1,38,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
40,frl,contexts1,news-print,"qrt, (8.5x11)",weekly,1892,sff,boy,Frank Reade Library,(House Name),"Frank Tousey, Pub.",24 Union Square,New York,NY,US,1,191,http://www.pulpmags.org/contexts/nodes/nickel-weeklies.html
41,fro,pulpmags,pulp-paper,"std, (07.x10)",monthly,1924,wes,fro,"Frontier, The",Harry E. Maule,"Doubleday, Page & Co.",501 Franklin Ave.,Garden City,NY,US,3,160,http://www.pulpmags.org/content/view/issues/frontier-stories.html
43,gho,pulpmags,pulp-paper,"ovr, (08.x11)",monthly,1926,sup,cff,Ghost Stories,Harry A. Keller,Constructive Publishing Corp. (Macfadden),Washington & South Aves.,Dunellen,NJ,US,1,64,http://www.pulpmags.org/content/view/issues/ghost-stories.html
44,gin,contexts2,slick-insert,"std, (07.x10)",monthly,1928,rom,sex,Ginger Stories,Natalie Messenger,King Publishing Co.,900 Market St.,Wilmington,DE,US,2,64,http://www.pulpmags.org/content/view/issues/ginger-stories.html
42,gls,contexts2,slick-insert,"und, (05.x08)",monthly,1939,sex,rom,Gay Life Stories,(House Name),Eagle Magazine Co.,Address Not Listed,Chicago,IL,US,1,7,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
45,gre,pulpmags,pulp-paper,"std, (07.x10)",monthly,1909,thr,ant,"Green Book Magazine, The",Karl Edwin Harriman,Story-Press Corp.,29 E. Madison St.,Chicago,IL,US,1,151,http://www.pulpmags.org/content/view/issues/green-book-magazine.html
46,har,contexts3,book-paper,"std, (07.x10)",monthly,1850,gen,ant,Harper's Magazine,Henry Mills Alden,Harper & Brothers,327-35 Pearl St.,New York,NY,US,1,999,http://www.pulpmags.org/contexts/nodes/pulps-and-big-slicks.html
47,hol,contexts2,slick-insert,"und, (05.x08)",quarterly,1937,sex,rom,Hollywood Nights,Henry Marcus,Detinuer Publishing Co.,799 Broadway Ave.,New York,NY,US,1,3,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
48,hut,pulpmags,pulp-paper,"std, (07.x10)",monthly,1919,ant,adv,Hutchinson's Story Magazine,Erle Lunn,Hutchinson & Co.,"34-36, Paternoster Row",London,LO,UK,2,125,http://www.pulpmags.org/content/view/issues/hutchinsons-story-magazine.html
49,ico,pulpmags,pulp-paper,"std, (07.x10)",fortnightly,1922,rom,sex,I Confess,Elizabeth Sharp,Dell Publishing Co.,46 W. 24th St.,New York,NY,US,1,209,http://www.pulpmags.org/content/view/issues/i-confess.html
50,ind,pulpmags,pulp-paper,"std, (07.x10)",quarterly,1950,wes,ant,Indian Stories,Jack O'Sullivan,Wings Publishing Co. (Fiction House),130 W. 42nd St.,New York,NY,US,1,3,http://www.pulpmags.org/content/view/issues/indian-stories.html
51,jun,pulpmags,pulp-paper,"std, (07.x10)",quarterly,1938,adv,jun,Jungle Stories,Malcolm Reiss,"Glen-Kel Publishing Co., Inc. (Fiction House)",130 W. 42nd St.,New York,NY,US,5,59,http://www.pulpmags.org/content/view/issues/jungle-stories.html
52,lap,contexts2,slick-insert,"und, (05.x08)",monthly,1930,sex,rom,La Paree Stories,H. R. Merrill,D.M. Publishing Co.,900 Market St.,Wilmington,DE,US,1,94,http://www.pulpmags.org/contexts/nodes/girlie-pulps-the.html
53,liv,pulpmags,pulp-paper,"std, (07.x10)",monthly,1913,ant,rom,Live Stories,Grove E. Wilson,New Fiction Publishing Co.,35-37 W. 39th St.,New York,NY,US,2,166,http://www.pulpmags.org/content/view/issues/live-stories.html
54,lsm,pulpmags,pulp-paper,"std, (07.x10)",weekly,1921,rom,lov,Love Story Magazine,Daisy Bacon,Street & Smith Corp.,79-89 Seventh Ave.,New York,NY,US,3,1172,http://www.pulpmags.org/content/view/issues/love-story-magazine.html
55,mad,pulpmags,pulp-paper,"ovr, (08.x11)",bi-monthly,1946,adv,ant,Mammoth Adventure,Raymond A. Palmer,Ziff-Davis Publishing Co.,540 N. Michigan Ave.; 185 N. Wabash Ave.,Chicago,IL,US,1,8,http://www.pulpmags.org/content/view/issues/mammoth-adventure.html
